Scheme Code,Scheme Name,Scheme Category,Classification,Main Category,Sub Category,Flag,Commission
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
